Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution
un09DE2,un09DW2,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.5,116.7,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.6,116.58,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DE3,un09DW1,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.52,116.75,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.58,116.55,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DE3,un09DW2,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.52,116.75,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.6,116.58,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09DW1,un09DW2,0,n,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.58,116.55,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.6,116.58,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
un09N1,un09N3,0,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-21.85,113.97,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.1,113.9,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N1,un09N4,0,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-21.85,113.97,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.3,113.85,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N1,un09N5,0.02,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-21.85,113.97,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.5,113.8,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N1,un09N6,0.02,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-21.85,113.97,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.7,113.78,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N1,un09N7,0.01,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-21.85,113.97,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23,113.75,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N1,un09N8,0.02,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-21.85,113.97,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23.2,113.73,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N3,un09N4,0,n,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.1,113.9,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.3,113.85,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N3,un09N5,0.03,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.1,113.9,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.5,113.8,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N3,un09N6,0.03,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.1,113.9,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.7,113.78,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N3,un09N7,0.03,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.1,113.9,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23,113.75,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N3,un09N8,0.02,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.1,113.9,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23.2,113.73,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N4,un09N5,0.03,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.3,113.85,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.5,113.8,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N4,un09N6,0.01,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.3,113.85,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.7,113.78,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N4,un09N7,0.01,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.3,113.85,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23,113.75,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
un09N4,un09N8,0.03,y,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-22.3,113.85,Acropora,un09,Ningaloo,broadcast,Acropora tenuis,Underwood,2009,-23.2,113.73,Acropora,un09,un09,TRUE,Ningaloo <-> Ningaloo,Microsatellite,Medium
